region,district,ward,village
DODOMA,MPWAPWA,GODEGODE,KISISI
DODOMA,MPWAPWA,GODEGODE,MGOMA
DODOMA,MPWAPWA,GODEGODE,MZOGOLE
DODOMA,MPWAPWA,MPWAPWA_MJINI,ILOLO
DODOMA,MPWAPWA,MPWAPWA_MJINI,KIBORIANI
DODOMA,MPWAPWA,MPWAPWA_MJINI,MPWAPWA_MJINI
DODOMA,MPWAPWA,MPWAPWA_MJINI,IGOVU
DODOMA,MPWAPWA,MPWAPWA_MJINI,MWANAKIANGA
DODOMA,MPWAPWA,LUPETA,LUPETA
DODOMA,MPWAPWA,LUPETA,BUMILA
DODOMA,MPWAPWA,LUPETA,MAKUTUPA
DODOMA,MPWAPWA,GULWE,IYOMA
DODOMA,MPWAPWA,GULWE,GULWE
DODOMA,MPWAPWA,GULWE,CHISEYU
DODOMA,MPWAPWA,NGHAMBI,KIEGEA
DODOMA,MPWAPWA,NGHAMBI,NGHAMBI
DODOMA,MPWAPWA,NGHAMBI,KAZANIA
DODOMA,MPWAPWA,CHITEMO,CHIBWEGELE
DODOMA,MPWAPWA,CHITEMO,CHITEMO
DODOMA,MPWAPWA,IWONDO,IGOJI_II
DODOMA,MPWAPWA,IWONDO,IWONDO
DODOMA,MPWAPWA,KINGITI,LUKOLE
DODOMA,MPWAPWA,KINGITI,KINGITI
DODOMA,MPWAPWA,LUFU,LUFU
DODOMA,MPWAPWA,LUFU,GOMHUNGILE
DODOMA,MPWAPWA,LUFU,MLIMO
DODOMA,MPWAPWA,PWAGA,PWAGA
DODOMA,MPWAPWA,PWAGA,IDAHO
DODOMA,MPWAPWA,PWAGA,MINGUWI
DODOMA,MPWAPWA,GALIGALI,MATONYA
DODOMA,MPWAPWA,GALIGALI,GALIGALI
DODOMA,MPWAPWA,MTERA,KISIMA
DODOMA,MPWAPWA,MTERA,MTERA
DODOMA,MPWAPWA,MTERA,KISIMANI
DODOMA,MPWAPWA,CHIPOGORO,CHIPOGORO
DODOMA,MPWAPWA,CHIPOGORO,SELUKA
DODOMA,MPWAPWA,CHIPOGORO,CHALUDEWA
DODOMA,MPWAPWA,MALOLO,NZUGILO
DODOMA,MPWAPWA,MALOLO,MALOLO
DODOMA,MPWAPWA,MALOLO,IDODOMA
DODOMA,KONGWA,KONGWA,KONGWA
DODOMA,KONGWA,KONGWA,MNYAKONGO
DODOMA,KONGWA,KONGWA,MLANGA
DODOMA,KONGWA,SEJILI,MSUNJILILE
DODOMA,KONGWA,SEJILI,SEJELI
DODOMA,KONGWA,SEJILI,MBANDE
DODOMA,KONGWA,SEJILI,VILUNDILO
DODOMA,KONGWA,SEJILI,MANUNGU
DODOMA,KONGWA,HOGORO,NYERERE
DODOMA,KONGWA,HOGORO,BANYIBANYI
DODOMA,KONGWA,HOGORO,HOGORO
DODOMA,KONGWA,HOGORO,CHAMAE
DODOMA,KONGWA,HOGORO,MKUTANI
DODOMA,KONGWA,ZOISSA,PINGALAME
DODOMA,KONGWA,ZOISSA,ZOISSA
DODOMA,KONGWA,ZOISSA,KINANGALI
DODOMA,KONGWA,MKOKA,MKOKA
DODOMA,KONGWA,MKOKA,MNUKU
DODOMA,KONGWA,MKOKA,MVUNGURUMO
DODOMA,KONGWA,NJOGE,MAKUTUPA
DODOMA,KONGWA,NJOGE,NJOGE
DODOMA,KONGWA,NJOGE,HEMBAHEMBA
DODOMA,KONGWA,MTANANA,CHIGWINGWILI
DODOMA,KONGWA,MTANANA,NDALIBO
DODOMA,KONGWA,MTANANA,MTANANA_A
DODOMA,KONGWA,MTANANA,MTANANA_B
DODOMA,KONGWA,MTANANA,SOITI
DODOMA,KONGWA,PANDAMBILI,PANDAMBILI
DODOMA,KONGWA,MLALI,MLALI_IYEGU
DODOMA,KONGWA,MLALI,IHANDA
DODOMA,KONGWA,MLALI,MLALI_BONDENI
DODOMA,KONGWA,IDUO,IDUO
DODOMA,KONGWA,IDUO,CHANGOMBE
DODOMA,KONGWA,IDUO,MASINYETI
DODOMA,KONGWA,IDUO,SUGUTA
DODOMA,KONGWA,SAGARA,SAGARA_B
DODOMA,KONGWA,SAGARA,MSINGISA
DODOMA,KONGWA,SAGARA,LAIKALA
DODOMA,KONGWA,SAGARA,IJAKA
DODOMA,KONGWA,SAGARA,SAGARA_A
DODOMA,KONGWA,KIBAIGWA,KINANGALI
DODOMA,KONGWA,KIBAIGWA,NDURUGUMI
DODOMA,KONGWA,KIBAIGWA,KIBAIGWA
DODOMA,KONGWA,UGOGONI,CHIMOTOLO
DODOMA,KONGWA,UGOGONI,MACHENJE
DODOMA,KONGWA,UGOGONI,MAUTYA
DODOMA,KONGWA,UGOGONI,IBWAGA
DODOMA,KONGWA,UGOGONI,NGUJI
DODOMA,KONGWA,UGOGONI,UGOGONI
DODOMA,KONGWA,CHAMKOROMA,CHAMKOROMA
DODOMA,KONGWA,CHAMKOROMA,MSETA_BONDENI
DODOMA,KONGWA,CHAMKOROMA,MSETA
DODOMA,KONGWA,CHAMKOROMA,MANGHWETA
DODOMA,KONGWA,CHAMKOROMA,TUBUGWE_KIBAONI
DODOMA,KONGWA,CHAMKOROMA,TUBUGWE_JUU
DODOMA,KONGWA,CHAMKOROMA,MAKOLE
DODOMA,KONGWA,MAKAWA,MAKAWA
DODOMA,KONGWA,MAKAWA,MUUNGANO
DODOMA,KONGWA,MAKAWA,MAGESENI
DODOMA,KONGWA,MAKAWA,SILALE
DODOMA,KONGWA,CHITEGO,CHITEGO
DODOMA,KONGWA,CHITEGO,LEGANGA
DODOMA,KONGWA,CHITEGO,NGUTOTO
DODOMA,KONGWA,MATONGORO,MATONGORO
DODOMA,KONGWA,MATONGORO,MLANJE
DODOMA,KONGWA,MATONGORO,NORINI
DODOMA,KONGWA,NGOMAI,CHILANJILIZI
DODOMA,KONGWA,NGOMAI,NGOMAI
DODOMA,KONGWA,NGOMAI,MANYATA
DODOMA,KONGWA,SONGAMBELE,SONGAMBELE_A
DODOMA,KONGWA,SONGAMBELE,SONGAMBELE_B
DODOMA,KONGWA,SONGAMBELE,MUUNGANO
DODOMA,KONGWA,SONGAMBELE,MASENA
DODOMA,KONGWA,SONGAMBELE,MTUNGUCHOLE
DODOMA,KONGWA,CHIWE,MOLETI
DODOMA,KONGWA,CHIWE,CHIWE
DODOMA,KONGWA,CHIWE,VIHINGO
DODOMA,KONGWA,CHIWE,LENGAJI
DODOMA,KONGWA,LENJULU,LOBILO
DODOMA,KONGWA,LENJULU,LENJULU
DODOMA,KONGWA,LENJULU,KITETO
DODOMA,KONGWA,LENJULU,MAJAWANGA
DODOMA,KONGWA,NGHUMBI,PEMBAMOTO
DODOMA,KONGWA,NGHUMBI,NGHUMBI
DODOMA,KONGWA,NGHUMBI,IYUMBI
DODOMA,KONGWA,NGHUMBI,MBAGILWA
DODOMA,CHAMWINO,HANETI,HANETI
DODOMA,CHAMWINO,HANETI,KWAHEMU
DODOMA,CHAMWINO,HANETI,CHENENE
DODOMA,CHAMWINO,HANETI,HUMEKWA
DODOMA,CHAMWINO,SEGALA,SEGALA
DODOMA,CHAMWINO,SEGALA,IZAVA
DODOMA,CHAMWINO,SEGALA,KIMEJI
DODOMA,CHAMWINO,ITISO,ITISO
DODOMA,CHAMWINO,ITISO,SOLOWU
DODOMA,CHAMWINO,DABALO,DABALO
DODOMA,CHAMWINO,DABALO,MANYEMBA
DODOMA,CHAMWINO,DABALO,CHIWONDO
DODOMA,CHAMWINO,DABALO,IGAMBA
DODOMA,CHAMWINO,MEMBE,MEMBE
DODOMA,CHAMWINO,MEMBE,MLIMWA
DODOMA,CHAMWINO,MSANGA,MSANGA
DODOMA,CHAMWINO,MSANGA,KAWAWA
DODOMA,CHAMWINO,CHILONWA,MAHAMHA
DODOMA,CHAMWINO,CHILONWA,NZALI
DODOMA,CHAMWINO,BUIGIRI,CHAMWINO_IKULU
DODOMA,CHAMWINO,BUIGIRI,BUIGIRI
DODOMA,CHAMWINO,BUIGIRI,CHINANGALI_II
DODOMA,CHAMWINO,MAJELEKO,MAJELEKO
DODOMA,CHAMWINO,MAJELEKO,CHINANGALI_I
DODOMA,CHAMWINO,MANCHALI,MANCHALI_B
DODOMA,CHAMWINO,MANCHALI,CHALINZE
DODOMA,CHAMWINO,MANCHALI,WILUNZE
DODOMA,CHAMWINO,MANCHALI,MANCHALI_A
DODOMA,CHAMWINO,IKOWA,IKOWA
DODOMA,CHAMWINO,IKOWA,MAKOJA
DODOMA,CHAMWINO,MSAMALO,MGUNDA
DODOMA,CHAMWINO,MSAMALO,MNASE
DODOMA,CHAMWINO,MSAMALO,MLEBE
DODOMA,CHAMWINO,IGANDU,IGANDU
DODOMA,CHAMWINO,IGANDU,NGHAHELEZE
DODOMA,CHAMWINO,IGANDU,CHINOJE
DODOMA,CHAMWINO,MUUNGANO,MUUNGANO
DODOMA,CHAMWINO,MUUNGANO,MZULA
DODOMA,CHAMWINO,MUUNGANO,ILOLO
DODOMA,CHAMWINO,MVUMI_MAKULU,MVUMI_MAKULU
DODOMA,CHAMWINO,HANDALI,HANDALI
DODOMA,CHAMWINO,HANDALI,CHANHUMBA
DODOMA,CHAMWINO,MVUMI_MISSION,MVUMI_MISSION
DODOMA,CHAMWINO,MVUMI_MISSION,NDEBWE
DODOMA,CHAMWINO,IDIFU,IDIFU
DODOMA,CHAMWINO,IDIFU,MIGANGA
DODOMA,CHAMWINO,MAKANGWA,MKANGWA
DODOMA,CHAMWINO,MAKANGWA,MLOWABARABARANI
DODOMA,CHAMWINO,MAKANGWA,MLODA
DODOMA,CHAMWINO,IRINGA_MVUMI_ZAMANI,IRINGA_MVUMI_ZAMANI
DODOMA,CHAMWINO,IRINGA_MVUMI_ZAMANI,IRINGA_MVUMI
DODOMA,CHAMWINO,IRINGA_MVUMI_ZAMANI,IKOMBOLINGO
DODOMA,CHAMWINO,IRINGA_MVUMI_ZAMANI,CHITA
DODOMA,CHAMWINO,MANZASE,MANZASE
DODOMA,CHAMWINO,MANZASE,SASAJILA
DODOMA,CHAMWINO,MANZASE,ILEWELO
DODOMA,CHAMWINO,FUFU,FUFU
DODOMA,CHAMWINO,FUFU,SULI
DODOMA,CHAMWINO,MLOWA_BWAWANI,MLOWA_BWAWANI
DODOMA,CHAMWINO,MLOWA_BWAWANI,WILIKO
DODOMA,CHAMWINO,MPWAYUNGU,MPWAYUNGU
DODOMA,CHAMWINO,MPWAYUNGU,NAGULO
DODOMA,CHAMWINO,NGHAMBAKU,NGHAMBAKU
DODOMA,CHAMWINO,NGHAMBAKU,NDOGOWE
DODOMA,CHAMWINO,CHINUGULU,CHINUGULU
DODOMA,CHAMWINO,MANDA,MANDA
DODOMA,CHAMWINO,MANDA,ILANGALI
DODOMA,CHAMWINO,HUZI,HUZI
DODOMA,CHAMWINO,HUZI,CHIFUKULO
DODOMA,CHAMWINO,LOJE,LOJE
DODOMA,CHAMWINO,LOJE,IGUNGULI
DODOMA,CHAMWINO,CHIBOLI,NZASA
DODOMA,CHAMWINO,CHIBOLI,CHIBOLI
DODOMA,CHAMWINO,NHINHI,NHINHI
DODOMA,CHAMWINO,NHINHI,NKWENDA
DODOMA,CHAMWINO,ZAJILWA,MAGUNGU
DODOMA,CHAMWINO,ZAJILWA,GWANDI
DODOMA,CHAMWINO,ZAJILWA,ZAJILWA
DODOMA,DODOMA_URBAN,VIWANDANI,MARIJANI
DODOMA,DODOMA_URBAN,VIWANDANI,SAMORA
DODOMA,DODOMA_URBAN,VIWANDANI,KINYALI
DODOMA,DODOMA_URBAN,VIWANDANI,TOFIKI
DODOMA,DODOMA_URBAN,VIWANDANI,BARUTI
DODOMA,DODOMA_URBAN,UHURU,UHURU
DODOMA,DODOMA_URBAN,UHURU,KATI
DODOMA,DODOMA_URBAN,UHURU,KIPANDE
DODOMA,DODOMA_URBAN,UHURU,MJI_MPYA
DODOMA,DODOMA_URBAN,CHAMWINO,MAILI_MBILI
DODOMA,DODOMA_URBAN,CHAMWINO,SOKOINE
DODOMA,DODOMA_URBAN,CHAMWINO,NDUKA
DODOMA,DODOMA_URBAN,CHAMWINO,MWAJA
DODOMA,DODOMA_URBAN,KIWANJA_NDEGE,MLIMWA
DODOMA,DODOMA_URBAN,KIWANJA_NDEGE,CHUO_CHA_MIPANGO
DODOMA,DODOMA_URBAN,KIWANJA_NDEGE,KNJA_CHA_NDEGE
DODOMA,DODOMA_URBAN,KIWANJA_NDEGE,MAKONGORO
DODOMA,DODOMA_URBAN,KIWANJA_NDEGE,OSTERBAY
DODOMA,DODOMA_URBAN,MAKOLE,CHIMULI
DODOMA,DODOMA_URBAN,MAKOLE,CHADULU_B
DODOMA,DODOMA_URBAN,MAKOLE,MAKOLE
DODOMA,DODOMA_URBAN,MIYUJI,MIYUJI_PROPER
DODOMA,DODOMA_URBAN,MIYUJI,MPAMAA
DODOMA,DODOMA_URBAN,MIYUJI,MATHIAS
DODOMA,DODOMA_URBAN,MIYUJI,MSALATO
DODOMA,DODOMA_URBAN,MAKUTUPORA,WEYULA
DODOMA,DODOMA_URBAN,MAKUTUPORA,MCHEMWA
DODOMA,DODOMA_URBAN,CHIHANGA,GAWAYE
DODOMA,DODOMA_URBAN,CHIHANGA,CHIHANGA
DODOMA,DODOMA_URBAN,CHIHANGA,NZASA
DODOMA,DODOMA_URBAN,HOMBOLO,HOMBOLO_MAKULU
DODOMA,DODOMA_URBAN,HOMBOLO,HOMBOLO_BWAWANI
DODOMA,DODOMA_URBAN,HOMBOLO,MKOYO
DODOMA,DODOMA_URBAN,HOMBOLO,ZEPISA
DODOMA,DODOMA_URBAN,IPALA,IPALA
DODOMA,DODOMA_URBAN,NZUGUNI,NZUGUNI
DODOMA,DODOMA_URBAN,NZUGUNI,KITELELA
DODOMA,DODOMA_URBAN,NZUGUNI,MAHOMANYIKA
DODOMA,DODOMA_URBAN,DODOMA_MAKULU,DODOMA_MAKULU
DODOMA,DODOMA_URBAN,MTUMBA,MTUMBA
DODOMA,DODOMA_URBAN,MTUMBA,VIKONJE
DODOMA,DODOMA_URBAN,MTUMBA,IHUMWA
DODOMA,DODOMA_URBAN,KIKOMBO,KIKOMBO
DODOMA,DODOMA_URBAN,KIKOMBO,CHILOLO
DODOMA,DODOMA_URBAN,NGHONGHONHA,NGHONGHONHA
DODOMA,DODOMA_URBAN,NGHONGHONHA,MAPINDUZI
DODOMA,DODOMA_URBAN,MPUNGUZI,MATUMBULU
DODOMA,DODOMA_URBAN,MPUNGUZI,NKULABI
DODOMA,DODOMA_URBAN,TAMBUKARELI,CHADULU_A
DODOMA,DODOMA_URBAN,TAMBUKARELI,RELI
DODOMA,DODOMA_URBAN,TAMBUKARELI,SALMIN
DODOMA,DODOMA_URBAN,KILIMANI,KILIMANI
DODOMA,DODOMA_URBAN,KILIMANI,NYERERE
DODOMA,DODOMA_URBAN,KILIMANI,CHINYOYO
DODOMA,DODOMA_URBAN,KILIMANI,IMAGE
DODOMA,DODOMA_URBAN,KIKUYU_KUSINI,MAGHOROFANI
DODOMA,DODOMA_URBAN,KIKUYU_KUSINI,IMAGE1
DODOMA,DODOMA_URBAN,KIKUYU_KUSINI,MKUYUNI
DODOMA,DODOMA_URBAN,KIKUYU_KUSINI,MKALAMA
DODOMA,DODOMA_URBAN,KIKUYU_KUSINI,MAWENI
DODOMA,DODOMA_URBAN,KIKUYU_KASKAZINI,KIKUYU_MISSION
DODOMA,DODOMA_URBAN,KIKUYU_KASKAZINI,KIKUYU
DODOMA,DODOMA_URBAN,KIKUYU_KASKAZINI,ZAHANATI
DODOMA,DODOMA_URBAN,KIKUYU_KASKAZINI,KIGAMBONI
DODOMA,DODOMA_URBAN,KIKUYU_KASKAZINI,HAZINA_X
DODOMA,DODOMA_URBAN,MKONZE,MKONZE
DODOMA,DODOMA_URBAN,MKONZE,MICHESE
DODOMA,DODOMA_URBAN,MBABALA,MBABALA_A
DODOMA,DODOMA_URBAN,MBABALA,MBABALA_B
DODOMA,DODOMA_URBAN,ZUZU,ZUZU
DODOMA,DODOMA_URBAN,ZUZU,CHIDIDIMO
DODOMA,DODOMA_URBAN,HAZINA,HAZINA
DODOMA,DODOMA_URBAN,HAZINA,MLEZI
DODOMA,DODOMA_URBAN,HAZINA,KINYAMBWA
DODOMA,DODOMA_URBAN,HAZINA,ITEGA
DODOMA,DODOMA_URBAN,MADUKANI,SULULU
DODOMA,DODOMA_URBAN,MADUKANI,MMASI
DODOMA,DODOMA_URBAN,MADUKANI,JAMALI
DODOMA,DODOMA_URBAN,MADUKANI,KAMILI
DODOMA,DODOMA_URBAN,MAJENGO,MNYAMPALA
DODOMA,DODOMA_URBAN,MAJENGO,KITENGE
DODOMA,DODOMA_URBAN,MAJENGO,MAUSI
DODOMA,DODOMA_URBAN,MAJENGO,FATINA
DODOMA,DODOMA_URBAN,KIZOTA,SOKOINE
DODOMA,DODOMA_URBAN,KIZOTA,MKONONGO
DODOMA,DODOMA_URBAN,KIZOTA,RELINI
DODOMA,DODOMA_URBAN,KIZOTA,BOCHELA
DODOMA,DODOMA_URBAN,KIZOTA,SALAMA
DODOMA,DODOMA_URBAN,KIZOTA,MTUBE
DODOMA,DODOMA_URBAN,KIZOTA,KISABUJE
DODOMA,DODOMA_URBAN,KIZOTA,BWAWANI
DODOMA,DODOMA_URBAN,KIZOTA,MNYAKONGO
DODOMA,DODOMA_URBAN,NALA,CHIHONI
DODOMA,DODOMA_URBAN,NALA,NALA
DODOMA,DODOMA_URBAN,MBALAWALA,MBALAWALA
DODOMA,DODOMA_URBAN,MBALAWALA,LUGALA
DODOMA,DODOMA_URBAN,NTYUKA,NTYUKA
DODOMA,DODOMA_URBAN,CHIGONGWE,MSEMBETA
DODOMA,DODOMA_URBAN,CHIGONGWE,CHIGONGWE
DODOMA,DODOMA_URBAN,CHIGONGWE,NGHAMBALA
DODOMA,DODOMA_URBAN,CHANGOMBE,HAMVU
DODOMA,DODOMA_URBAN,CHANGOMBE,MAZENGO
DODOMA,DODOMA_URBAN,CHANGOMBE,CHANGOMBE_JUU
DODOMA,DODOMA_URBAN,CHANGOMBE,CHILEWA
DODOMA,DODOMA_URBAN,IYUMBU,IYUMBU
DODOMA,DODOMA_URBAN,CHAHWA,MAHOMA_MAKULU
DODOMA,DODOMA_URBAN,CHAHWA,CHAHWA
DODOMA,DODOMA_URBAN,MNADANI,KARUME
DODOMA,DODOMA_URBAN,MNADANI,MNADANI
DODOMA,DODOMA_URBAN,MNADANI,MBWANGA
DODOMA,DODOMA_URBAN,MNADANI,NDACHI
DODOMA,DODOMA_URBAN,IPAGALA,MLIMWA_WEST
DODOMA,DODOMA_URBAN,IPAGALA,SWASWA
DODOMA,DODOMA_URBAN,IPAGALA,ILAZO
DODOMA,DODOMA_URBAN,IPAGALA,SULUNGAI
DODOMA,DODOMA_URBAN,IPAGALA,IPAGALA
DODOMA,BAHI,MAKANDA,MAKANDA
DODOMA,BAHI,MAKANDA,CHONDE
DODOMA,BAHI,LAMAITI,BANKOLO
DODOMA,BAHI,LAMAITI,LAMAITI
DODOMA,BAHI,LAMAITI,LUKALI
DODOMA,BAHI,BABAYU,KONGOGO
DODOMA,BAHI,BABAYU,BABAYU
DODOMA,BAHI,BABAYU,ASANJE
DODOMA,BAHI,ZANKA,ZANKA
DODOMA,BAHI,ZANKA,MAYAMAYA
DODOMA,BAHI,ZANKA,MKONDAI
DODOMA,BAHI,MSISI,KISIMA_CHA_NDEGE
DODOMA,BAHI,MSISI,MCHITO
